id,data,time_execution,model,pre,in,post,true_positives,true_negatives,false_positives,false_negatives,accuracy,recall,specificity,precision,npv,f1-score,balanced_accuracy,roc_auc,pr_auc,mcc,log_loss,cohen_kappa_score,fbeta_score,jaccard_score,hamming_loss,demographic_parity_ratio,equal_odds_ratio,predictive_parity_ratio,equal_opportunity_ratio,tnr_ratio,fpr_ratio,npv_ratio,fnr_ratio,error_rate_ratio,average_odds_difference,average_predictive_value_difference,false_positive_rate_ratio,false_discovery_rate_ratio,false_negative_rate_ratio,false_omission_rate_ratio,statistical_parity_difference,equalized_odds_difference,equal_opportunity_difference,error_rate_difference,false_positive_rate_difference,false_discovery_rate_difference,false_negative_rate_difference,false_omission_rate_difference,true_positive_rate_difference,between_all_groups_coefficient_of_variation,between_all_groups_generalized_entropy_index,between_group_generalized_entropy_index,between_all_groups_theil_index,between_group_coefficient_of_variation,between_group_theil_index,generalized_entropy_index,differential_fairness_bias_amplification,tp_privileged,tp_unprivileged,tn_privileged,tn_unprivileged,fn_privileged,fn_unprivileged,fp_privileged,fp_unprivileged,accuracy_privileged,accuracy_unprivileged,recall_privileged,recall_unprivileged,specificity_privileged,specificity_unprivileged,precision_privileged,precision_unprivileged,npv_privileged,npv_unprivileged,selection_rate_privileged,selection_rate_unprivileged,false_positive_rate_privileged,false_positive_rate_unprivileged,false_negative_rate_privileged,false_negative_rate_unprivileged,false_discovery_rate_privileged,false_discovery_rate_uprivileged,false_omission_rate_privileged,false_omission_rate_uprivileged,error_rate_privileged,error_rate_unprivileged
4542862e-0cc4-417e-9a2b-0901a522fc53,2025-12-26 21:13:07,13.904435634613037,bernoulli_nb,disparate_impact_remover,none,equalized_odds_postprocessing,1408,5011,1804,835,0.7086553323029366,0.6277307177886758,0.7352898019075569,0.4383561643835616,0.8571672938761546,0.5162236480293309,0.6815102598481164,0.8706524153239115,0.6925989566200732,0.3275379052871135,0.5962883643773562,0.3170728097804153,0.5778069599474721,0.3479120336051396,0.29134466769706335,0.8110698770079431,0.9820222938712522,0.48684578679512097,0.9978025644692311,0.9935102804668022,1.0183068207727521,0.8725028184113152,1.003723898380387,0.9193236054503342,-0.001704640813184416,-0.19078043201408051,0.9820222938712522,1.536685094233674,0.9962899175894927,0.35217924857181415,-0.0713291920816228,0.004791238249118701,0.0013819566227498692,-0.024130710037800762,-0.004791238249118701,0.26232797278490794,-0.0013819566227498137,-0.11923289124325302,0.0013819566227498692,0.048548218959405316,0.0011784647820651808,0.0011784647820651808,0.001164604226244075,0.048548218959405316,0.001164604226244075,0.11420794949676565,-0.7212016929669237,1186.0,222.0,3121.0,1890.0,704.0,131.0,1134.0,670.0,0.7008950366151343,0.7250257466529351,0.6275132275132275,0.6288951841359773,0.7334900117508814,0.73828125,0.5112068965517241,0.24887892376681614,0.8159477124183007,0.9351806036615536,0.3775427176566314,0.3062135255750086,0.2665099882491187,0.26171875,0.3724867724867725,0.37110481586402266,0.48879310344827587,0.7511210762331838,0.18405228758169934,0.06481939633844631,0.2991049633848657,0.27497425334706493
76532297-5654-4773-91aa-1e40bf8cb666,2025-12-26 21:13:37,20.091837167739868,bernoulli_nb,disparate_impact_remover,none,none,1787,5123,1692,456,0.7628615588430117,0.7967008470798038,0.7517241379310344,0.5136533486634091,0.9182649220290374,0.6246067808458581,0.7742124925054191,0.8706524153239115,0.6925989566200732,0.48669782322341665,0.5962883643773562,0.4628677924203136,0.7176130431290659,0.45412960609911057,0.2371384411569883,0.16967790564038268,0.08573963836233686,0.7362524703557312,0.5849304445534683,0.6426939832356623,11.663216909942943,0.9692568553771622,0.2944040893193436,0.2905044307516861,-0.34975943436395485,0.07526664556463712,0.08573963836233686,0.6413249794231771,3.3966919491912635,0.6991880788584486,-0.43509147987599156,0.3537973829758532,-0.3537973829758532,-0.2179865963776756,-0.3457214857520564,-0.17922612053046832,0.35379738297585317,-0.028692829401194136,-0.3537973829758532,0.10221908796796492,0.005224370972501276,0.005224370972501276,0.005375993633030929,0.10221908796796492,0.005375993633030929,0.08459701334109238,0.8418220653866417,1611.0,176.0,2646.0,2477.0,279.0,177.0,1609.0,83.0,0.6927583401139138,0.9107449364915894,0.8523809523809524,0.4985835694050991,0.6218566392479435,0.967578125,0.5003105590062111,0.6795366795366795,0.9046153846153846,0.9333082140165787,0.5240032546786005,0.08891177480260899,0.3781433607520564,0.032421875,0.14761904761904762,0.5014164305949008,0.4996894409937888,0.3204633204633205,0.09538461538461539,0.06669178598342125,0.3072416598860862,0.08925506350841061
d2c4904a-f81d-4d54-be3d-6afcb63a1905,2025-12-26 21:14:54,63.47241973876953,bernoulli_nb,disparate_impact_remover,none,reject_option_classification,1660,5346,1469,583,0.7734599249282402,0.7400802496656264,0.784446074834923,0.530520933205497,0.9016697588126159,0.6180193596425912,0.7622631622502747,0.8706524153239115,0.6925989566200732,0.4761253985743773,0.5962883643773562,0.46315803519764764,0.6858937277910917,0.44719827586206895,0.22654007507175977,0.8477731452258876,0.8069529236195904,0.575925687008128,0.8069529236195904,1.0269092207231998,0.9091526308917613,0.8793713910463984,2.4690411666021426,0.9260537831811645,0.09569261066099595,-0.18714595696324143,1.0999253216911764,1.6466653551052528,0.40501552324305107,0.14682631201312016,-0.05529216271046683,0.17062517799061705,0.17062517799061705,-0.017159854383020257,0.02076004333137485,0.25611656537322736,-0.1706251779906171,-0.11817534855325552,0.17062517799061705,0.05577673099884571,0.0015555218604587982,0.0015555218604587982,0.0015346560783175511,0.05577673099884571,0.0015346560783175511,0.09001545015724427,-0.7654489456061397,1348.0,312.0,3371.0,1975.0,542.0,41.0,884.0,585.0,0.7679414157851913,0.7851012701682115,0.7132275132275132,0.8838526912181303,0.7922444183313748,0.771484375,0.6039426523297491,0.34782608695652173,0.8614873498594429,0.9796626984126984,0.3632221318144833,0.3079299691040165,0.20775558166862515,0.228515625,0.2867724867724868,0.11614730878186968,0.3960573476702509,0.6521739130434783,0.1385126501405571,0.020337301587301588,0.23205858421480874,0.21489872983178848
33838aa8-eeb0-41a6-a6f7-a62a39ae3c69,2025-12-26 21:15:16,3.137150526046753,bernoulli_nb,none,none,equalized_odds_postprocessing,1318,5096,1719,925,0.708103334069331,0.5876058849754793,0.7477622890682318,0.43398090220612445,0.8463710347118419,0.49924242424242427,0.6676840870218556,0.8706829660647997,0.6926378537495887,0.3066286307144133,0.5900160898977476,0.2997727810836349,0.5487551003414106,0.33266027258960124,0.29189666593066904,0.7907078010143878,0.954343020260989,0.4800740856071516,0.963451779224501,0.9844819064999456,1.0478412675209015,0.8667988120323521,0.949836396546923,0.8811300732870767,-0.016658782399372574,-0.19319782182915815,0.954343020260989,1.5318289801985454,1.0528128882357468,0.37120440775452085,-0.07523620302021439,0.021600191855149387,-0.021600191855149387,-0.03607687767609469,-0.01171737294359576,0.26290504589262637,0.02160019185514933,-0.12349059776568988,-0.021600191855149387,0.04773273232463515,0.0011392068675876348,0.0011392068675876348,0.0011260221906649606,0.04773273232463515,0.0011260221906649606,0.12012393657556941,-0.6958084502901831,1117.0,201.0,3163.0,1933.0,773.0,152.0,1092.0,627.0,0.6965012205044752,0.7325780981805698,0.591005291005291,0.5694050991501416,0.7433607520564043,0.755078125,0.5056586690810322,0.2427536231884058,0.8036077235772358,0.9270983213429257,0.3594792514239219,0.2842430484037075,0.25663924794359577,0.244921875,0.408994708994709,0.43059490084985835,0.49434133091896787,0.7572463768115942,0.19639227642276422,0.07290167865707434,0.30349877949552484,0.26742190181943015
0f8b5eda-276d-464a-a6f6-2f78d9d13287,2025-12-26 21:15:35,3.3189117908477783,bernoulli_nb,none,none,none,1764,5209,1606,479,0.7698167365864429,0.7864467231386536,0.7643433602347762,0.5234421364985163,0.9157876230661041,0.6285408872260823,0.7753950416867149,0.8706829660647997,0.6926378537495887,0.4918570888893326,0.5900160898977476,0.4713486180191012,0.7146329606222654,0.4583008573655495,0.23018326341355708,0.17268854567365313,0.08713548492791612,0.7433065810593901,0.5896594326789881,0.6620522345627535,11.476380728554641,0.9653042159054614,0.31583437369954226,0.2978945523069961,-0.33618846514638795,0.07189493055285456,0.08713548492791612,0.640402950170894,3.166216483299295,0.6741261258558755,-0.41937757204663473,0.34499003252544336,-0.34499003252544336,-0.20874640405778977,-0.32738689776733254,-0.1761621502533598,0.3449900325254433,-0.032372289147650654,-0.34499003252544336,0.09678542562296663,0.004683709306509402,0.004683709306509402,0.004811650834236289,0.09678542562296663,0.004811650834236289,0.08490833666516522,0.8242093843461575,1589.0,175.0,2729.0,2480.0,301.0,178.0,1526.0,80.0,0.7026851098454028,0.9114315139031925,0.8407407407407408,0.49575070821529743,0.6413631022326675,0.96875,0.5101123595505618,0.6862745098039216,0.9006600660066006,0.9330323551542513,0.5069161920260374,0.08753861997940268,0.35863689776733254,0.03125,0.15925925925925927,0.5042492917847026,0.4898876404494382,0.3137254901960784,0.09933993399339934,0.06696764484574869,0.2973148901545972,0.08856848609680745
1cf61ec3-0b69-4f72-b5fc-9a18ad919b25,2025-12-26 21:16:47,47.05233979225159,bernoulli_nb,none,none,reject_option_classification,1627,5402,1413,616,0.7759991168028262,0.7253678109674543,0.7926632428466618,0.5351973684210526,0.8976404120970423,0.6159379140639788,0.759015526907058,0.8706829660647997,0.6926378537495887,0.47352234537807375,0.5900160898977476,0.46286252146438966,0.6772394272394272,0.4450218818380744,0.22400088319717376,0.8539417602144255,0.7934818228366616,0.5814723513728101,0.7934818228366616,1.0282881547109013,0.9003417305767897,0.8745271231932421,2.4888519748984863,0.9047120001160412,0.10169769625920899,-0.18876906291613033,1.1106893816410863,1.6507684926115809,0.40179167346454475,0.1466611149236507,-0.051435318290640075,0.18136157201313008,0.18136157201313008,-0.022019358801500633,0.022033820505287904,0.2547139155462149,-0.18136157201313008,-0.12282421028604576,0.18136157201313008,0.05793624322085519,0.001678304139273044,0.001678304139273044,0.0016549708220491574,0.05793624322085519,0.0016549708220491574,0.09134722888272655,-0.7727051754736138,1317.0,310.0,3408.0,1994.0,573.0,43.0,847.0,566.0,0.7689178193653377,0.7909371781668383,0.6968253968253968,0.8781869688385269,0.8009400705052879,0.77890625,0.6085951940850277,0.3538812785388128,0.8560663149962321,0.9788905252822778,0.3521562245728234,0.30072090628218334,0.1990599294947121,0.22109375,0.30317460317460315,0.12181303116147309,0.3914048059149723,0.6461187214611872,0.1439336850037679,0.02110947471772214,0.23108218063466235,0.20906282183316172
8150e539-ccec-4556-ad0d-46a828b18964,2025-12-26 21:17:04,3.162179708480835,bernoulli_nb,reweighing,none,equalized_odds_postprocessing,1581,5264,1551,662,0.7556855818061382,0.7048595630851539,0.7724137931034483,0.5047892720306514,0.8882888963887952,0.5882790697674418,0.738636678094301,0.8783208475442796,0.7076347175755651,0.43313477889222635,0.4715165511691702,0.42126666135051716,0.6530898876404494,0.41671059567738533,0.2443144181938618,0.7273232310055883,0.9488292035715568,0.5139902580512951,0.9488292035715568,0.9858535881419176,1.0499506047024323,0.9060373680532567,0.8883873936047849,0.9357248441372986,-0.023692650981336244,-0.18454761932395913,0.952425757479716,1.6619787864473743,1.125635063260328,0.380221284559467,-0.10334649226818304,0.03636104740920598,-0.03636104740920598,-0.016034794782346817,-0.011024254553466506,0.280253792802538,0.03636104740920604,-0.08884144584538037,-0.03636104740920598,0.03532034656836984,0.0006237634408548775,0.0006237634408548775,0.0006183535744747211,0.03532034656836984,0.0006183535744747211,0.09730385257204487,-0.6122813919150759,1343.0,238.0,3269.0,1995.0,547.0,115.0,986.0,565.0,0.7505288852725793,0.7665636800549261,0.7105820105820105,0.6742209631728046,0.7682726204465334,0.779296875,0.5766423357664233,0.29638854296388545,0.8566561844863732,0.9454976303317536,0.3790073230268511,0.27566083075866804,0.2317273795534665,0.220703125,0.2894179894179894,0.32577903682719545,0.4233576642335766,0.7036114570361146,0.14334381551362682,0.054502369668246446,0.24947111472742067,0.23343631994507386
f36b8d39-1329-40e0-a8e3-4a9f36701d02,2025-12-26 21:17:19,3.030106782913208,bernoulli_nb,reweighing,none,none,1686,5594,1221,557,0.80370942812983,0.7516718680338832,0.8208363903154806,0.5799793601651186,0.9094456185986018,0.6547572815533981,0.7862541291746818,0.8783208475442796,0.7076347175755651,0.5293390616464007,0.4715165511691702,0.5207934753908143,0.7096556949238151,0.4867205542725173,0.19629057187017002,0.3076540661985654,0.23989207474226804,0.9925327377041999,0.7867260218535006,0.7971922915000006,4.168541212019473,0.9339046139271185,0.5725871857258718,0.41282256037044696,-0.17824365903307854,-0.02908766886198734,0.23989207474226804,0.9896349958205629,1.7464589235127481,0.46279797015148966,-0.2858391593253441,0.19060755728554643,-0.16587976078061062,-0.14208834055803832,-0.19060755728554643,-0.004359266637548043,0.16587976078061067,-0.06253460436152283,-0.16587976078061062,0.04328059433910889,0.0009366049231732523,0.0009366049231732523,0.0009474057755819901,0.04328059433910889,0.0009474057755819901,0.08286435738039202,0.2473680406195411,1470.0,216.0,3188.0,2406.0,420.0,137.0,1067.0,154.0,0.7580146460537022,0.9001029866117405,0.7777777777777778,0.6118980169971672,0.7492361927144536,0.93984375,0.5794245171462357,0.5837837837837838,0.8835920177383592,0.9461266220998821,0.4128559804719284,0.12701682114658427,0.2507638072855464,0.06015625,0.2222222222222222,0.3881019830028329,0.4205754828537643,0.41621621621621624,0.1164079822616408,0.05387337790011797,0.24198535394629783,0.09989701338825951
f4c817bd-49a8-4ace-afb5-95b477348f46,2025-12-26 21:18:25,51.03905892372131,bernoulli_nb,reweighing,none,reject_option_classification,1813,4971,1844,430,0.7489512033561493,0.8082924654480607,0.7294203961848863,0.49576155318567133,0.9203851138678023,0.6145762711864406,0.7688564308164735,0.8783208475442796,0.7076347175755651,0.4730406062911898,0.4715165511691702,0.4438548282310252,0.7177923826114498,0.4436016638120871,0.2510487966438507,0.8621683944826258,0.8615820597244745,0.5304024947972344,0.8615820597244745,1.0398356166503928,0.9016524477818222,0.9019018359557074,2.4902998236331566,1.0757655953597212,0.07750306561702863,-0.18301962802758473,1.1090747909132006,1.632640400318373,0.40155807365439095,0.14372300215982722,-0.05822796548789316,0.1266543759461607,0.1266543759461607,0.01856842743885112,0.028351755287896574,0.26953015514334383,-0.12665437594616064,-0.09650910091182562,0.1266543759461607,0.05177833939256048,0.0013404982151255902,0.0013404982151255902,0.0013237379563515578,0.05177833939256048,0.0013237379563515578,0.08479857669854522,-0.7822317558532971,1490.0,323.0,3149.0,1822.0,400.0,30.0,1106.0,738.0,0.7549227013832384,0.7363542739443872,0.7883597883597884,0.9150141643059491,0.7400705052878966,0.71171875,0.573959938366718,0.30442978322337416,0.8872921949845026,0.9838012958963283,0.4224572823433686,0.36422931685547544,0.2599294947121034,0.28828125,0.21164021164021163,0.08498583569405099,0.42604006163328195,0.6955702167766258,0.11270780501549732,0.016198704103671708,0.24507729861676164,0.26364572605561276
ebff2a5d-4261-482e-9ab8-f9477e3acedc,2025-12-26 21:19:02,19.075788021087646,decision_tree,disparate_impact_remover,none,equalized_odds_postprocessing,1455,5511,1304,788,0.769043939059395,0.6486847971466786,0.8086573734409391,0.5273649873142443,0.8749007779012542,0.5817672930827669,0.7286710852938089,0.755023356270376,0.47580019190362616,0.42892085309150574,6.931299268055639,0.42457876323036947,0.6201517347199728,0.4102058077248379,0.230956060940605,0.6953755288920874,0.9181175595238095,0.5404029642256788,0.9537681641453819,0.9802567253612724,1.0891851371611492,0.892308621077705,0.9198193897442019,0.8423925959859333,-0.02318724889661891,-0.18740447218147782,0.9181175595238095,1.6757170704539124,1.0871699500464935,0.3707615437039168,-0.1028634300323708,0.030209691682779538,-0.030209691682779538,-0.03834386802295031,-0.016164806110458285,0.2735432959909814,0.030209691682779483,-0.10126564837197408,-0.030209691682779538,0.036909888021572704,0.000681169916882518,0.000681169916882518,0.0006750063060703629,0.036909888021572704,0.0006750063060703629,0.10191347998803771,-0.5674444152297702,1235.0,220.0,3415.0,2096.0,655.0,133.0,840.0,464.0,0.7567127746135069,0.7950566426364573,0.6534391534391535,0.623229461756374,0.8025851938895417,0.81875,0.5951807228915663,0.3216374269005848,0.8390663390663391,0.9403319874383131,0.33767290480065093,0.23480947476828012,0.19741480611045828,0.18125,0.34656084656084657,0.37677053824362605,0.40481927710843374,0.6783625730994152,0.16093366093366093,0.059668012561686856,0.24328722538649306,0.20494335736354274
